game_id,player_id,min_on,min_off,min_so
830464,51474,,71,
830464,144980,,56,
830464,128729,,56,
830464,101331,71,,
830464,44029,56,,
830464,121903,56,,
830059,46973,,88,
830059,51474,,88,
830059,121903,,64,
830059,104921,,,86
830059,85444,88,,
830059,68138,64,,
830059,44029,88,,
830627,67179,,65,
830627,51474,,79,
830627,140587,,60,
830627,49806,65,,
830627,46973,79,,
830627,72487,60,,
830067,46973,,89,
830067,121903,,60,
830067,67179,89,,
830067,51474,60,,
830082,67179,,72,
830082,46973,,72,
830082,72487,,77,
830082,44029,72,,
830082,121903,72,,
830082,140587,77,,
830095,68138,,66,
830095,44029,,77,
830095,121903,,56,
830095,67179,77,,
830095,51474,56,,
830095,72487,66,,
830104,96015,,55,
830104,67179,,72,
830104,121903,,55,
830104,104921,55,,
830104,68138,55,,
830104,72487,72,,
830119,40110,,73,
830119,41443,,61,
830119,51474,61,,
830119,101331,73,,
830126,15110,,62,
830126,76807,,86,
830126,67179,,78,
830126,51474,,50,
830126,89329,62,,
830126,46973,50,,
830126,44029,78,,
830126,41443,86,,
838131,96015,,58,
838131,40110,,75,
838131,41443,,58,
838131,85444,58,,
838131,101331,75,,
838131,72487,58,,
830143,68138,,70,
830143,51474,,67,
830143,101331,,71,
830143,49806,,,45
830143,42622,71,,
830143,46973,67,,
830143,117422,70,,
830146,68138,,81,
830146,101331,,63,
830146,140587,,72,
830146,96015,,,87
830146,67179,81,,
830146,46973,63,,
830146,41443,72,,
830167,68138,,82,
830167,101331,,75,
830167,140587,,89,
830167,46973,75,,
830167,117422,82,,
830167,41443,89,,
830178,68138,,84,
830178,51474,,82,
830178,101331,,89,
830178,104921,89,,
830178,67179,84,,
830178,46973,82,,
830181,68138,,77,
830181,51474,,89,
830181,101331,,72,
830181,67179,89,,
830181,46973,72,,
830181,117422,77,,
830196,101331,,62,
830196,46973,62,,
830214,68138,,61,
830214,46973,,72,
830214,44029,,78,
830214,67179,78,,
830214,40110,61,,
830214,41443,72,,
830222,46973,,45,
830222,51474,,45,
830222,72487,,68,
830222,40110,45,,
830222,121903,45,,
830222,140587,68,,
840348,67179,,81,
840348,46973,,73,
840348,140587,,81,
840348,76807,81,,
840348,44029,73,,
840348,72487,81,,
830238,68138,,64,
830238,46973,,58,
830238,101331,58,,
830238,121903,64,,
830242,76807,,73,
830242,140587,,45,
830242,44029,73,,
830242,41443,45,,
830263,96015,,58,
830263,101331,,89,
830263,41443,,87,
830263,49806,87,,
830263,67179,89,,
830263,51474,58,,
840683,96015,,56,
840683,49806,,45,
840683,101331,,45,
840683,121903,,72,
840683,41443,,56,
840683,67179,45,,
840683,51474,56,,
840683,44029,45,,
840683,72487,56,,
840683,140587,72,,
830285,49806,,78,
830285,51474,,80,
830285,101331,,45,
830285,68138,80,,
830285,46973,45,,
830285,117422,78,,
830291,101331,,79,
830291,120094,,82,
830291,140587,,78,
830291,104921,78,,
830291,51474,82,,90
830291,117422,79,,
830311,101331,,89,
830311,120094,,88,
830311,104921,89,,
830311,67179,88,,
840979,85444,,89,
840979,104921,,72,
840979,46973,,71,
840979,40110,,62,
840979,41443,,72,
840979,18605,89,,
840979,44029,62,,
840979,117422,72,,
840979,120094,71,,
840979,140587,72,,
830323,49806,,76,
830323,101331,,76,
830323,41443,,66,
830323,104921,76,,
830323,67179,76,,
830323,46973,66,,
830359,114877,,63,
830359,120094,,87,
830359,140587,,78,
830359,67179,87,,
830359,44029,63,,
830359,121903,78,,
830343,114877,,58,
830343,140587,,45,
830343,44029,45,,
830343,121903,58,,
830371,58504,,84,
830371,120094,,79,
830371,44029,79,,
830371,140587,84,,
830373,49806,,88,
830373,114877,,75,
830373,120094,,59,
830373,104921,88,,
830373,51474,75,,
830373,140587,59,,
830395,49806,,59,
830395,120094,,45,
830395,101331,59,,
830395,140587,45,,
830275,49806,,45,
830275,114877,,51,
